C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,ID
3577.4049003020978,1841.0187748912672,-57.26837004613386,713.2699377817595,-941.6419845896681,-1149.170707040853,522.8674931761416,1485.7200201124779,390.27637321718896,-320.1097202232404,-180.5681175584751,-186.1341834882955,97.30359796847664,114.43544880154846,-377.81765690948964,-88.95062327582271,792.5182618437989,-344.2953643063367,-402.44586383443306,-1117.8929545782323,924.887044636882,-670.3120137748538,53.09611310771004,-773.93588245548,-45.41728102485238,-825.3559544815162,420.1021591486952,462.5622325124896,86.4899475477338,316.70218404044317,005
191.7001902364387,2865.0016843333547,1038.2564864475646,2407.1720304306173,-194.9374774202394,1102.6428766578638,-284.9604484167275,895.4273679259464,-190.6285868766218,2626.173807642193,-1626.892423378869,4581.685089698361,2425.4727257513396,1924.852256515655,-399.93341189692507,394.06622890011926,-95.21009005891544,-532.0206187917524,-199.80332751337116,124.93141366408393,-388.4154786551104,-217.2286988688083,53.16888346686168,0.9514334991257289,-58.49005364277999,48.97726597101967,-19.29682483335467,-34.194877563557114,0.5436119439618483,25.42746197448112,005
3578.0041505879717,-1755.4857642854988,513.8686236950431,113.69110395420576,-585.9000740088073,-389.8449935190376,1102.036318932682,-752.3695061640582,343.6906609035836,160.28040482876435,155.738534654283,106.66500269094314,206.00071983650616,-163.28101232750151,-336.42176463495963,-42.92631526860916,-274.2145167260019,92.94647914561708,337.0198616900029,-258.68190371413687,79.75788795013153,245.1432729083242,17.921848115211247,15.431772778184634,-457.6063499428348,77.01648058430473,-54.36133738746145,186.2940733545866,-297.4055516191697,88.97982583646012,005
2173.113349577418,1036.366471593146,303.0661667577534,918.6426784630712,-793.057109913631,-727.4917130875513,208.28740654774606,-630.3663967853042,-109.34067260542673,86.33211568234984,-177.2503282484216,243.30283824359034,-409.8777579325466,57.85574832227621,197.8928857896325,-175.20368613309066,342.7674230653294,-76.67417692599044,-347.9784942257157,-784.0270469989608,97.51799386230749,473.52247058763874,53.95880131010972,-423.72372009668874,1.8217434270514954,-524.3810111613357,-51.5512180395713,53.26899002300991,-111.4172517693499,-252.87174541964094,005
2524.0284597006403,1178.2911495046226,179.28106357232593,828.1975088744749,-835.4703261990641,-803.8724165617504,282.24300265643984,-677.957458783046,-68.10620813478252,29.3100269812861,-2.4423224112365056,175.24337241122777,-337.3615378520898,-26.31355670149373,222.956426186527,-25.25088000735953,317.83871259228823,50.008533707848294,-560.4481706815614,-573.6147117870474,-83.74875489647836,150.2659729263715,332.335694842729,-403.4427486541883,222.43363970026442,-428.3005385848949,293.7148819830439,97.84484022366131,-330.5212183748841,-252.35881737136143,005
3740.824089198679,-1186.1009036810274,229.96579226004258,-257.5670131428483,-500.7390033420228,-461.32590438357454,1069.452785877594,-343.49168342627115,296.8087063518068,-422.31459494237333,-388.43468259911884,62.61736918938408,-223.1226238894102,181.48953793916485,-729.4475022781186,-134.5334923920787,331.64822425616313,-42.75864525019712,67.34779783816002,-462.26405286804925,123.79731951837053,546.0368164223594,468.14255779677126,90.32934417195405,-141.8456873937454,83.91226871473256,411.41441562584527,-523.5218690010946,149.39522546842204,-303.3335155938907,005
1106.7229926186383,-4542.070304899761,1437.6588255865886,1042.8679719237998,545.3864957110941,490.8426126833268,-1312.4545544987304,-280.959566478245,-497.7086822610519,1269.84700950936,959.474791095587,170.8198362789518,-870.8110761986521,-286.88714552847466,-160.4266699991394,437.2125587203864,204.6490851408983,-529.4209947712025,690.7184438336985,-386.28644608563945,-242.61023462882395,546.7101855346797,-62.39774711804205,349.3975589007625,-145.09028329001396,262.430689838766,-82.25996922463486,17.30988212979219,59.90620670383286,888.6660860246604,005
1883.646925655814,2083.586677633303,140.22860248259286,735.564966476279,-1628.5907005398967,-1387.5220273322168,24.68310781354418,-218.45670878315354,3.1073876056668532,69.16380047775395,-438.7906474000401,206.61269368399428,-226.92723907375586,-225.98130170977646,170.91057633551756,-511.1304176816262,-30.58657121812814,10.7202942571889,-354.0142059468783,-850.0831373794236,587.6477929226054,152.2869632695575,47.24268613201493,-335.37217652419815,-188.66976913321042,-376.2391888594296,59.592512109315884,-221.1734241691694,18.6634649192332,-82.1779309301874,005
1348.3001865984866,132.01605822034168,482.11919642350017,558.7453190618476,-1110.1642162842832,-663.3409192272808,-371.5236619649856,-423.8304574513901,-221.97594029752563,103.11481173284058,-174.1074418836719,132.87098940754785,-704.2998514572755,-18.138935043644704,215.25311072592916,-172.14383765592285,83.07342260324799,87.04529711619075,-89.15472542098411,44.77321500954098,-234.7668895517823,357.1111971648247,16.365014581997873,51.526635084618924,-397.942410470793,163.09487985454737,127.16819882940337,65.50386946002025,-98.5237486996915,112.27495520223809,005
1043.313706850302,-672.2777825561757,415.98870908874414,248.72506549605754,-538.4972526972023,-157.99298999831925,-161.92136184302342,-682.525681674359,-182.09765493009772,-334.65326591070794,-484.3788747811998,74.46684543889602,-611.1246412635518,564.0124852895592,-27.978381495545086,-367.25031264556475,262.773921371068,-335.46534850563825,84.21653257948049,0.8253416187630895,73.7697261238253,717.7505160085316,-91.29296757039853,166.37784214915757,-174.39754344494975,179.31562767302722,-95.62294820767863,105.76250596890094,165.151333217011,137.42769997202183,005
