C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,ID
3577.4049022963095,1841.018749662417,-57.26836183789511,713.269813328748,-941.6430329522749,-1149.1804175291354,522.8844088703063,1485.7351761468728,390.2129532414512,-319.958644938744,005
191.70018949645458,2865.001676933704,1038.256456020796,2407.1721806197133,-194.93689455892604,1102.6465833188772,-284.96088898220665,895.4183440428711,-190.6307821192256,2625.889444768821,005
3578.004150618256,-1755.4857587493796,513.8686055117598,113.69108598234043,-585.9001750344929,-389.8455251510824,1102.0332495427897,-752.3656101022382,343.7019488215152,160.32290850689338,005
2173.1133501200757,1036.3664807427201,303.06621400835286,918.6425510042687,-793.0573530273653,-727.4936425543669,208.2836099250938,-630.3641758951421,-109.33541235430944,86.5600940308853,005
2524.0284599271085,1178.2911529660355,179.28109763825367,828.1974376897759,-835.4701575091044,-803.8721361095792,282.2434847470703,-677.9635079725541,-68.11283330847066,29.348399701094614,005
3740.8240896494785,-1186.1008847191972,229.96579281514897,-257.5671690378583,-500.7392604029109,-461.3267996651895,1069.4503521665986,-343.48782674656115,296.8255580344521,-422.1401606284145,005
1106.7229919583583,-4542.0702961789175,1437.658821247437,1042.8680115130674,545.3868577934796,490.8457491969204,-1312.4609574107542,-280.96405665798653,-497.6862121252467,1269.7854477549502,005
1883.6469270565183,2083.586681128017,140.22862566322755,735.5647738175089,-1628.5916602961436,-1387.5286750168934,24.68568048476284,-218.44133253887725,3.0980871952889406,69.51359848706703,005
1348.3001862183958,132.01606877109032,482.11919091229356,558.7453151509147,-1110.164047777713,-663.3392507067632,-371.53087094999074,-423.83115176305665,-221.9516823596549,103.15286782255922,005
1043.3137071049052,-672.2777603535163,415.9887365823292,248.724905303142,-538.4976653859816,-157.9945882097697,-161.9295107250443,-682.517247561026,-182.06426660217787,-334.3426567279815,005
-3887.045732292014,1647.7875279088007,-1097.7429636728045,-1150.856649104871,-406.0746290176708,-211.21876968354252,1455.2088120379312,-89.25987302173829,349.18240146865304,1168.3447147028799,010
-3956.576776273134,1018.5131336252505,-968.5111804210467,-899.4235187975446,-161.16329810520625,-165.7395944255677,840.4648031541418,-175.95106917828775,81.71047376980849,385.2230730327104,010
-4046.084848229589,1769.6002512378593,-1211.343264383108,-1373.0604289985188,-632.5192590562939,-269.38347922016004,1786.2099921477115,7.194189790159893,474.25215202053806,2267.250343283045,010
-3368.8867741650483,-85.35699621986095,41.81166036466371,368.7094915257575,-221.16816592012077,37.87781895363903,-1157.694712779584,-176.75552595632487,-427.6635265207967,-1033.1749817431842,010
-3850.0448336244476,-25.875034856159004,-603.7762557080916,-155.23575551896786,165.02806580643886,6.547173805456114,-597.4413886568491,-99.1840428725983,-121.75663016492015,-1442.0190905514808,010
-3747.7702291449805,1366.9696660044654,-939.3745549703516,-929.8778770717779,-424.5194857829192,-249.47733625998097,935.128947613441,-189.10799954504657,243.8506827904964,551.0754514518055,010
-3741.9331784297356,720.7495841846741,-514.6977276769525,-293.1858567226607,-219.3659528001622,-96.29829004115493,-135.50190676524906,-229.04361547461974,-224.3992423566509,-338.38646524138653,010
-3523.9910601801103,503.3595157875672,-294.6246189748334,33.30721465027462,-171.67894160186214,-94.76963782522567,-520.7563252807857,-252.89639985246632,-457.55140625428766,-404.60211248085744,010
-3775.509955589696,947.3683392399544,-631.9665000782903,-442.80670070810015,-290.57561123407055,-143.7521592651108,47.42530628918246,-203.98739300128335,-152.54183352091817,-70.66343132537436,010
-3257.9944587514046,28.444436433077993,38.2291063902784,245.80276074096076,-258.5444230394842,0.2597446193645549,-753.8423925369298,-224.2139926555635,-388.47412150313636,-556.6886669678333,010
4350.46040652421,1683.9718922711531,-820.0216792459597,-689.2145888385731,-1365.7862656355437,-934.3873872455661,405.5990020983991,-1264.8318355740485,142.4149067882966,-1222.6900141582983,013
3753.4129967484846,3170.0207578780423,-912.1387223619975,-229.72345374114326,-1970.3378417949425,-1584.3595089225355,-593.4049319806081,-1012.7900429160796,-123.66191193755182,-892.0179939548075,013
1175.3411023753251,3802.7542840584556,-30.620294941895825,1177.544343140508,-2451.7435945778816,-2255.488717824683,-1221.4161629205578,100.12840185450291,-339.154291572809,1177.0075494517898,013
1839.1172775009454,4095.2845081777195,1.41492486671938,1327.7422952177542,-2850.0068898080144,-1214.1372269133276,-1224.7481484871466,288.518350191579,-351.99524078737153,2186.186486105655,013
4536.488494896757,-3123.612120792197,160.43356467844845,-1113.3825957055703,486.67548199303087,65.68472638499134,1940.6601794274093,538.6711525911934,634.0623420129788,21.041555436374416,013
2601.6795906232246,4670.120847471373,246.15614214358834,1123.3406792798705,-1131.56275910694,4721.440021497932,-132.45440417742319,47.575050220966965,-288.4808621018262,-171.474821840482,013
3733.986244621701,262.6376484769367,-294.5693465071527,-357.05027679004854,-973.5082479468939,-766.8342733538931,746.6128671870937,-940.1006243830891,245.78553272868157,-750.624741573903,013
5006.789667062568,5.261471997962568,-666.1524627604531,-832.2839146019118,-515.9853300654555,-603.7483181841197,1113.604845495724,-1004.7877347248368,370.00730670740154,-1070.43584677838,013
2377.848270980215,4601.412494699943,664.9117158176371,1652.576392056985,-1353.4022035218288,7264.49564102331,816.185355618767,351.4784516750777,-311.06760647261456,-465.89809036768287,013
2459.5306147895158,4735.13565008309,485.0029213641232,1542.841404426811,-1264.9747846198343,6835.76965989234,507.2780964308524,235.6882539929443,-197.50457292953058,-496.7915169772836,013
-3041.1284159714187,5.073808942970687,-391.537792275639,-199.60381267924132,-237.73364763374795,32.37665795627474,-87.10643035783981,-70.48547425376177,-12.99574647310349,784.1927354522518,022
-3394.1083481175765,287.6027149965344,-617.7039414848372,-431.65404642294686,-61.38409315271244,180.00500029771183,286.9425765720042,-55.83287405809347,152.54858222691854,514.6547323710488,022
-1171.5341538522741,-2030.0578188909128,44.16259781366411,82.52524445112518,275.7394096886475,245.02159623368166,-288.2940962238413,-125.56786323780373,-149.13007856898383,222.86055914140024,022
-2002.787827942695,-860.8348490140694,78.18914626336607,156.7714827034187,-96.29687159832797,163.37222246221123,-365.93984302700466,-211.28720225109439,-269.2560283482034,432.0265199626181,022
-4026.3557773046246,833.6282169465364,-1040.712300391433,-817.1264526189997,-37.4298113647276,36.47699385752915,827.5218440757588,-59.92283318206365,234.99009811680895,622.3624194967708,022
-997.4081098817427,-1744.117966504254,238.0534192384927,212.26683272561908,141.5148131262797,217.75874204664666,-308.9975863473443,-287.4322970396183,-245.53158046156517,-63.19505634574036,022
-223.3141261549807,3419.242763303633,226.88658309993045,8726.996172987709,7992.587001982659,-2046.790450388266,4274.357764957191,-221.86714076537342,-5313.499435286782,-427.9647072170264,022
-1717.7608357056336,-1753.3980393424208,-33.46035092554172,29.686397909065732,175.96264125783028,162.14652606617338,-285.6379393352268,-133.15739833876776,-198.3068333062843,451.91134236008554,022
-230.44725159054227,2348.7569238676133,632.8278201399264,7357.457690353224,5344.025266200202,-441.50120073925126,-1422.2092931881934,-889.4590688216524,8470.983279870501,-73.56097392037707,022
-2674.596478093319,-1087.8665515996465,-94.6643624587128,212.53675827148027,61.88047010764539,221.10740717276127,-960.5839812601466,-77.47532767119526,-399.0521512577739,580.7743184158024,022
-890.3021426361202,-788.146642296028,-271.9383583415468,-321.4784822575557,-21.572549583713172,-5.350255450533935,188.58002328720866,-429.9486106180977,66.65616341358717,-1101.8513133625108,027
1239.9960112964236,-605.3780458760497,69.06106672855746,501.8722800353769,-393.14319025895713,-445.7331986699835,-1456.6720903168248,-498.6998571243458,-492.65406024799523,-907.6958990002411,027
-1196.6836974470739,-1016.5837150710956,-405.2410676267966,-427.4156883718131,255.27271583109626,64.26324106131086,131.0218284322424,-316.9666088707271,17.004551622659264,-900.946602423807,027
-723.2713930347536,-1210.0038059845967,-366.5875496810464,-244.05444683251818,188.5228441467036,-4.565410750017712,-191.97788068632556,-237.53860806153648,66.52823661843469,-1540.490851829715,027
-1874.8104507103524,-1422.5971515001831,-495.81118030259205,-584.2157198497777,472.5958485909215,118.53812416138588,436.79589287821426,-175.02944163728736,84.19322296957338,-187.77185486873594,027
-943.0575101151265,-2152.2387310300214,453.4687707569397,227.85352173147874,117.81155445485646,193.15612128609243,-311.7020384836095,-95.94862933686275,-163.03004817707424,321.3845819419671,027
-1536.7980783615637,-1548.4107847910316,350.69385904295706,255.08851746258972,25.66382710910753,188.45677181317717,-441.47635161784905,-216.45725314020743,-267.8448054645123,444.3533044167824,027
-2072.880072934772,-458.77682803296756,-266.9272136327667,-283.5356865772515,-166.75111296990087,-121.21894635854149,156.28845078749578,156.0533868030254,64.57493210361781,202.13339729335922,027
-4281.007869714993,1327.2655733105123,-1273.1830790445965,-1178.3002043358879,-75.01911706193022,244.20464953466453,1314.703755932224,127.23204812199792,352.54597671648406,1088.2987435757614,027
